timestamp,value
1340806717,0
1340806718,275
1340806719,43
1340806720,2
1340806721,94
1340806722,100
1340806723,32
1340806724,33
1340806725,74
1340806726,51
1340806727,537
1340806728,523
1340806729,6
1340806730,689
1340806731,688
1340806732,16
1340806733,773
1340806734,541
1340806735,8
1340806736,797
1340806737,92
1340806738,561
1340806739,579
1340806740,773
1340806741,758
1340806742,315
1340806743,142
1340806744,41
1340806745,5
1340806746,19
1340806747,645
1340806748,531
1340806749,167
1340806750,779
1340806751,578
1340806752,178
1340806753,516
1340806754,13
1340806755,202
1340806756,50
1340806757,58
1340806758,32
1340806759,58
1340806760,20
1340806761,53
1340806762,78
1340806763,47
1340806764,328
1340806766,419
1340806767,60
1340806768,81
1340806769,37
1340806770,12
1340806771,794
1340806772,25
1340806773,1
1340806774,4
1340806775,259
1340806776,305
1340806777,257
1340806778,828
1340806779,90
1340806780,29
1340806781,0
1340806782,1
1340806783,69
1340806784,230
1340806785,113
1340806786,288
1340806787,32
1340806788,18
1340806789,30
1340806790,21
1340806791,16
1340806792,31
1340806793,41
1340806794,17
1340806795,27
1340806796,8
1340806797,13
1340806798,16
1340806799,45
1340806800,0
1340806801,89
1340806802,49
1340806803,17
1340806804,20
1340806805,8
1340806806,5
1340806807,253
1340806808,411
1340806809,8
1340806810,49
1340806811,98
1340806812,82
1340806813,198
1340806814,450
1340806815,241
1340806816,615
1340806817,83
1340806818,698
1340806819,695
1340806821,590
1340806822,262
1340806823,647
1340806824,525
1340806825,230
1340806826,127
1340806827,136
1340806828,226
1340806829,26
1340806830,73
1340806831,18
1340806832,31
1340806833,89
1340806834,15
1340806835,49
1340806836,15
1340806837,58
1340806838,93
1340806839,179
1340806840,86
1340806841,144
1340806842,825
1340806843,777
1340806844,392
1340806845,770
1340806846,323
1340806847,452
1340806848,25
1340806849,115
1340806850,72
1340806851,192
1340806852,739
1340806853,166
1340806854,80
1340806855,806
1340806856,744
1340806857,392
1340806858,654
1340806859,59
1340806860,146
1340806861,334
1340806862,176
1340806863,9
1340806864,105
1340806865,652
1340806866,126
1340806867,196
1340806868,74
1340806869,505
1340806870,287
1340806871,598
1340806872,351
1340806873,523
1340806874,577
1340806875,113
1340806877,809
1340806878,598
1340806879,200
1340806880,795
1340806881,182
1340806882,577
1340806883,456
1340806884,549
1340806885,671
1340806886,689
1340806887,298
1340806888,408
1340806889,7
1340806890,62
1340806891,212
1340806892,48
1340806893,144
1340806894,134
1340806895,74
1340806896,238
1340806897,60
1340806898,131
1340806899,667
1340806900,156
1340806901,230
1340806902,196
1340806903,191
1340806904,360
1340806905,290
1340806906,614
1340806907,758
1340806908,408
1340806909,849
1340806910,20
1340806911,307
1340806912,60
1340806913,311
1340806914,692
1340806915,246
1340806916,100
1340806917,10
1340806918,199
1340806919,33
1340806920,34
1340806921,40
1340806922,65
1340806923,60
1340806924,32
1340806925,10
1340806926,767
1340806927,436
1340806928,474
1340806929,19
1340806931,77
1340806932,12
1340806933,58
1340806934,33
1340806935,149
1340806936,76
1340806937,46
1340806938,26
1340806939,11
1340806940,10
1340806941,13
1340806942,51
1340806943,54
1340806944,36
1340806945,28
1340806946,102
1340806947,25
1340806948,81
1340806949,30
1340806950,7
1340806951,83
1340806952,182
1340806953,813
1340806954,511
1340806955,222
1340806956,3
1340806957,808
1340806958,720
1340806959,789
1340806960,19
1340806961,313
1340806962,58
1340806963,24
1340806964,21
1340806965,6
1340806966,6
1340806967,26
1340806968,53
1340806969,12
1340806970,36
1340806971,23
1340806972,8
1340806973,22
1340806974,13
1340806975,94
1340806976,20
1340806977,90
1340806978,100
1340806979,63
1340806980,150
1340806981,27
1340806982,442
1340806983,161
1340806984,33
1340806985,96
1340806987,328
1340806988,253
1340806989,820
1340806990,71
1340806991,428
1340806992,195
1340806993,154
1340806994,432
1340806995,93
1340806996,410
1340806997,391
1340806998,176
1340806999,93
1340807000,85
1340807001,67
1340807002,21
1340807003,51
1340807004,28
1340807005,20
1340807006,20
1340807007,0
1340807008,105
1340807009,46
1340807010,506
1340807011,16
1340807012,22
1340807013,29
1340807014,20
1340807015,26
1340807016,13
1340807017,2
1340807018,90
